"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 11- 14","608.86","599.55","613.35","597.17","80.09M","0.08%"
"2025- 11- 13","608.40","617.54","618.12","606.08","71.33M","-2.04%"
"2025- 11- 12","621.08","624.84","624.86","617.81","47.44M","-0.08%"
"2025- 11- 11","621.57","620.57","622.72","617.52","44.87M","-0.27%"
"2025- 11- 10","623.23","618.92","624.31","616.89","55.92M","2.21%"
"2025- 11- 07","609.74","608.31","609.95","598.67","81.84M","-0.32%"
"2025- 11- 06","611.67","621.79","622.04","610.30","72.12M","-1.86%"
"2025- 11- 05","623.28","618.49","626.60","617.21","48.69M","0.65%"
"2025- 11- 04","619.25","623.28","626.95","618.46","63.83M","-2.03%"
"2025- 11- 03","632.08","635.11","635.82","629.85","37.15M","0.48%"
"2025- 10- 31","629.07","634.17","634.20","626.69","66.31M","0.48%"
"2025- 10- 30","626.05","632.17","633.50","625.94","61.63M","-1.53%"
"2025- 10- 29","635.77","635.59","637.01","630.25","67.42M","0.45%"
"2025- 10- 28","632.92","630.36","634.68","629.25","61.20M","0.77%"
"2025- 10- 27","628.09","624.52","628.55","624.03","54.10M","1.78%"
"2025- 10- 24","617.10","615.99","618.42","615.13","47.63M","1.07%"
"2025- 10- 23","610.58","604.91","611.37","604.52","42.84M","0.84%"
"2025- 10- 22","605.49","610.82","611.41","599.74","61.48M","-0.96%"
"2025- 10- 21","611.38","611.64","612.72","609.32","44.54M","-0.03%"
"2025- 10- 20","611.54","607.14","612.80","607.07","45.76M","1.26%"
"2025- 10- 17","603.93","597.95","605.51","596.37","72.02M","0.66%"
"2025- 10- 16","599.99","605.11","608.31","595.50","70.98M","-0.37%"
"2025- 10- 15","602.22","604.01","606.70","595.93","62.81M","0.71%"
"2025- 10- 14","598.00","595.31","602.69","590.13","69.20M","-0.67%"
"2025- 10- 13","602.01","599.68","602.95","597.23","65.87M","2.12%"
"2025- 10- 10","589.50","611.40","613.18","589.05","97.61M","-3.47%"
"2025- 10- 09","610.70","611.48","611.61","607.48","45.55M","-0.12%"
"2025- 10- 08","611.44","605.41","611.75","605.26","50.63M","1.15%"
