"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 11- 14","288.52","280.62","292.80","279.41","7.14M","-0.30%"
"2025- 11- 13","289.38","295.94","297.13","286.45","10.98M","-3.43%"
"2025- 11- 12","299.67","300.22","301.69","297.50","4.14M","1.53%"
"2025- 11- 11","295.15","299.04","300.02","294.69","5.88M","-2.27%"
"2025- 11- 10","302.00","302.44","303.36","298.54","6.03M","2.59%"
"2025- 11- 07","294.38","292.64","294.45","283.59","13.80M","-1.05%"
"2025- 11- 06","297.50","305.00","305.89","295.35","8.55M","-2.61%"
"2025- 11- 05","305.47","297.21","309.17","296.89","4.95M","3.11%"
"2025- 11- 04","296.26","300.34","304.74","295.55","5.29M","-3.93%"
"2025- 11- 03","308.38","310.40","311.75","307.13","3.75M","0.60%"
"2025- 10- 31","306.55","308.70","311.32","304.26","5.16M","0.37%"
"2025- 10- 30","305.41","307.94","311.12","305.38","4.63M","-1.35%"
"2025- 10- 29","309.60","309.86","312.79","306.97","4.50M","1.69%"
"2025- 10- 28","304.45","303.46","305.97","302.38","4.16M","0.12%"
"2025- 10- 27","304.08","301.43","305.01","300.40","5.17M","2.78%"
"2025- 10- 24","295.86","296.33","298.22","295.44","4.62M","1.65%"
"2025- 10- 23","291.06","282.49","291.86","282.25","5.37M","2.44%"
"2025- 10- 22","284.13","288.11","289.83","278.46","7.88M","-2.47%"
"2025- 10- 21","291.33","292.50","292.70","289.22","3.97M","-0.56%"
"2025- 10- 20","292.97","290.61","295.00","290.49","5.83M","1.67%"
"2025- 10- 17","288.17","286.89","289.64","283.72","6.26M","-0.28%"
"2025- 10- 16","288.98","291.08","292.26","285.94","7.41M","0.47%"
"2025- 10- 15","287.64","286.25","288.02","281.84","7.60M","3.09%"
"2025- 10- 14","279.03","278.50","284.77","277.36","8.48M","-2.05%"
"2025- 10- 13","284.87","282.78","285.95","280.34","8.70M","4.74%"
"2025- 10- 10","271.99","290.82","291.63","271.46","26.69M","-6.27%"
"2025- 10- 09","290.19","291.08","291.61","287.47","7.60M","-0.46%"
"2025- 10- 08","291.54","281.99","291.86","281.48","9.30M","3.42%"
"2025- 10- 07","281.91","290.98","291.48","281.53","9.95M","-2.24%"
"2025- 10- 06","288.36","290.99","292.51","288.35","11.27M","3.00%"
"2025- 10- 03","279.96","282.95","284.34","278.48","8.63M","-0.61%"
"2025- 10- 02","281.69","281.50","282.54","279.61","7.25M","1.94%"
"2025- 10- 01","276.34","269.38","276.70","268.88","9.34M","1.93%"
"2025- 09- 30","271.12","268.85","271.45","267.76","7.09M","0.81%"
"2025- 09- 29","268.93","271.72","272.80","268.86","5.95M","0.04%"
"2025- 09- 26","268.83","268.53","269.42","265.74","7.24M","0.22%"
"2025- 09- 25","268.24","264.58","268.94","261.80","11.16M","-0.32%"
"2025- 09- 24","269.10","268.74","269.76","265.61","7.83M","-0.15%"
"2025- 09- 23","269.51","270.79","272.13","267.91","6.07M","-0.12%"
"2025- 09- 22","269.83","266.65","270.66","266.58","5.72M","1.49%"
"2025- 09- 19","265.86","267.30","267.40","263.60","5.84M","-0.64%"
"2025- 09- 18","267.57","265.06","268.98","264.14","12.60M","3.50%"
"2025- 09- 17","258.53","257.94","260.74","254.83","6.57M","-0.02%"
"2025- 09- 16","258.58","258.29","259.05","256.58","7.54M","0.30%"
"2025- 09- 15","257.80","255.20","257.84","254.53","7.24M","0.84%"
"2025- 09- 12","255.64","255.81","256.40","254.16","7.14M","0.18%"
"2025- 09- 11","255.19","254.81","256.51","254.62","10.29M","0.69%"
"2025- 09- 10","253.45","253.03","254.21","251.86","13.40M","1.76%"
"2025- 09- 09","249.06","249.10","249.68","247.23","9.31M","0.08%"
"2025- 09- 08","248.85","248.40","249.92","247.56","10.29M","0.73%"
"2025- 09- 05","247.05","247.85","248.50","244.13","17.11M","1.18%"
"2025- 09- 04","244.17","240.06","244.52","238.75","11.84M","1.03%"
"2025- 09- 03","241.68","243.23","243.42","239.23","5.47M","-0.47%"
"2025- 09- 02","242.83","238.67","242.93","238.15","6.66M","-1.02%"
