"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 11- 14","617.83","611.75","621.22","609.83","9.68M","-0.03%"
"2025- 11- 13","617.99","625.67","626.02","616.51","13.07M","-1.63%"
"2025- 11- 12","628.22","629.65","629.77","626.10","6.09M","0.05%"
"2025- 11- 11","627.91","625.16","628.49","624.07","5.64M","0.23%"
"2025- 11- 10","626.47","622.69","627.21","620.66","8.42M","1.55%"
"2025- 11- 07","616.89","614.09","617.02","607.92","7.57M","0.11%"
"2025- 11- 06","616.24","621.96","622.79","614.82","7.10M","-1.06%"
"2025- 11- 05","622.86","620.59","626.00","619.83","10.32M","0.30%"
"2025- 11- 04","620.99","621.65","625.17","620.20","8.39M","-1.16%"
"2025- 11- 03","628.27","630.42","630.54","625.16","5.57M","0.20%"
"2025- 10- 31","627.04","629.84","629.94","624.50","7.06M","0.29%"
"2025- 10- 30","625.24","628.81","630.63","625.10","6.24M","-1.06%"
"2025- 10- 29","631.95","633.21","634.13","627.87","6.10M","0.04%"
"2025- 10- 28","631.69","631.71","633.39","629.64","5.63M","0.27%"
"2025- 10- 27","630.00","627.74","630.29","627.16","7.80M","1.20%"
"2025- 10- 24","622.55","621.92","623.79","621.21","5.69M","0.83%"
"2025- 10- 23","617.44","614.25","618.47","613.99","5.85M","0.57%"
"2025- 10- 22","613.97","617.83","617.83","609.83","6.96M","-0.51%"
"2025- 10- 21","617.09","617.33","618.74","615.98","4.22M","-0.01%"
"2025- 10- 20","617.17","613.51","618.01","613.51","4.09M","1.05%"
"2025- 10- 17","610.76","606.34","612.02","605.10","6.91M","0.55%"
"2025- 10- 16","607.39","613.11","614.80","604.14","7.59M","-0.66%"
"2025- 10- 15","611.43","613.07","616.21","605.82","6.50M","0.44%"
"2025- 10- 14","608.75","604.20","612.14","600.51","7.49M","-0.14%"
"2025- 10- 13","609.61","607.37","611.03","606.58","6.97M","1.52%"
"2025- 10- 10","600.51","617.99","619.60","600.23","13.66M","-2.69%"
"2025- 10- 09","617.10","619.23","619.59","615.28","5.90M","-0.27%"
"2025- 10- 08","618.77","616.22","618.90","615.46","5.04M","0.58%"
"2025- 10- 07","615.20","618.30","618.74","613.82","7.47M","-0.36%"
"2025- 10- 06","617.40","617.46","618.28","615.48","6.06M","0.34%"
"2025- 10- 03","615.30","615.95","618.42","614.29","7.21M","0.01%"
"2025- 10- 02","615.25","616.41","616.48","613.02","7.14M","0.11%"
"2025- 10- 01","614.57","609.70","615.39","609.57","10.02M","0.36%"
"2025- 09- 30","612.38","609.43","612.86","608.27","6.52M","0.37%"
"2025- 09- 29","610.13","610.79","611.68","608.48","5.66M","0.00%"
"2025- 09- 26","610.16","608.03","610.70","606.57","6.44M","0.59%"
"2025- 09- 25","606.59","606.62","607.93","603.35","6.97M","-0.48%"
"2025- 09- 24","609.50","612.63","612.74","608.19","23.79M","-0.33%"
"2025- 09- 23","611.54","614.71","615.26","610.34","10.75M","-0.52%"
"2025- 09- 22","614.76","610.52","615.22","610.51","11.58M","0.49%"
"2025- 09- 19","611.78","610.62","612.67","608.85","6.07M","0.47%"
"2025- 09- 18","608.94","608.55","611.31","607.07","11.06M","0.47%"
"2025- 09- 17","606.09","606.84","608.33","601.55","11.61M","-0.12%"
"2025- 09- 16","606.79","608.16","608.42","606.06","6.39M","-0.13%"
"2025- 09- 15","607.59","606.47","607.77","606.20","7.71M","0.52%"
"2025- 09- 12","604.44","604.59","605.98","603.95","8.13M","-0.02%"
"2025- 09- 11","604.57","601.43","605.23","600.89","9.11M","0.82%"
"2025- 09- 10","599.68","600.92","601.75","598.16","21.64M","0.29%"
"2025- 09- 09","597.95","596.61","598.37","595.01","7.84M","0.24%"
"2025- 09- 08","596.50","596.31","597.41","595.03","9.47M","0.26%"
"2025- 09- 05","594.96","598.91","599.60","591.45","6.64M","-0.27%"
"2025- 09- 04","596.59","592.47","596.77","591.60","8.05M","0.82%"
"2025- 09- 03","591.72","590.81","592.23","588.78","8.21M","0.51%"
"2025- 09- 02","588.71","586.06","588.80","583.67","11.12M","-0.74%"
"2025- 08- 29","593.08","595.24","595.55","591.24","7.51M","-0.58%"
"2025- 08- 28","596.52","595.07","597.07","593.27","5.06M","0.35%"
"2025- 08- 27","594.42","592.52","595.14","592.44","6.17M","0.23%"
"2025- 08- 26","593.06","590.38","593.43","589.79","4.78M","0.40%"
"2025- 08- 25","590.70","592.05","593.23","590.55","6.48M","-0.42%"
"2025- 08- 22","593.21","586.27","594.32","585.84","6.39M","1.53%"
"2025- 08- 21","584.27","584.93","586.46","582.65","4.81M","-0.39%"
"2025- 08- 20","586.58","587.81","588.00","581.85","7.11M","-0.26%"
"2025- 08- 19","588.13","591.25","592.12","586.94","6.74M","-0.55%"
"2025- 08- 18","591.36","590.98","592.02","590.35","5.31M","-0.04%"
"2025- 08- 15","591.57","593.86","593.95","590.66","7.20M","-0.22%"
"2025- 08- 14","592.85","590.92","593.51","590.50","6.24M","0.00%"
"2025- 08- 13","592.84","592.86","594.03","590.81","5.39M","0.35%"
"2025- 08- 12","590.78","586.75","590.96","585.43","5.87M","1.07%"
"2025- 08- 11","584.54","586.03","587.36","583.44","5.37M","-0.20%"
"2025- 08- 08","585.74","582.93","586.17","582.60","4.34M","0.77%"
"2025- 08- 07","581.29","584.87","585.52","578.31","4.59M","-0.06%"
"2025- 08- 06","581.64","578.25","582.27","577.41","4.55M","0.74%"
"2025- 08- 05","577.35","580.79","581.50","576.40","4.65M","-0.48%"
"2025- 08- 04","580.14","575.17","580.21","575.08","6.64M","1.52%"
"2025- 08- 01","571.45","575.73","575.74","569.29","8.78M","-1.65%"
"2025- 07- 31","581.02","587.83","588.16","579.84","7.05M","-0.38%"
"2025- 07- 30","583.21","584.66","586.15","580.55","6.97M","-0.12%"
"2025- 07- 29","583.92","586.82","587.08","583.12","5.05M","-0.26%"
"2025- 07- 28","585.44","586.04","586.50","584.24","4.19M","-0.02%"
"2025- 07- 25","585.58","583.81","586.04","583.59","4.21M","0.40%"
"2025- 07- 24","583.26","583.34","584.75","582.72","3.84M","0.07%"
"2025- 07- 23","582.86","580.57","582.96","578.87","4.26M","0.85%"
"2025- 07- 22","577.95","578.28","578.84","575.64","4.77M","0.00%"
"2025- 07- 21","577.95","577.98","580.53","577.59","5.91M","0.18%"
"2025- 07- 18","576.92","578.47","578.50","575.84","4.26M","-0.05%"
"2025- 07- 17","577.18","574.02","577.65","573.80","6.50M","0.60%"
"2025- 07- 16","573.74","573.40","574.26","568.17","6.14M","0.33%"
"2025- 07- 15","571.86","576.85","577.16","571.85","5.40M","-0.43%"
"2025- 07- 14","574.35","572.85","574.68","571.58","4.75M","0.20%"
"2025- 07- 11","573.22","572.45","574.38","571.37","4.43M","-0.36%"
"2025- 07- 10","575.29","573.78","576.26","572.70","4.96M","0.29%"
"2025- 07- 09","573.61","572.46","574.26","570.76","7.16M","0.59%"
"2025- 07- 08","570.23","571.15","571.83","569.48","6.94M","-0.07%"
"2025- 07- 07","570.61","573.00","573.59","567.98","6.42M","-0.80%"
"2025- 07- 03","575.22","572.18","575.67","572.13","4.84M","0.86%"
"2025- 07- 02","570.29","567.37","570.34","566.81","6.16M","0.44%"
"2025- 07- 01","567.77","566.56","568.80","565.80","7.41M","-0.05%"
"2025- 06- 30","568.03","567.50","569.15","565.38","5.75M","0.19%"
"2025- 06- 27","566.95","565.11","568.33","563.21","6.06M","0.50%"
"2025- 06- 26","564.15","561.52","564.55","560.96","6.08M","0.79%"
"2025- 06- 25","559.72","560.52","561.02","558.34","16.47M","0.05%"
"2025- 06- 24","559.44","557.18","560.43","556.37","6.77M","1.10%"
"2025- 06- 23","553.36","548.66","553.70","545.75","9.82M","1.03%"
"2025- 06- 20","547.72","551.72","552.72","546.62","9.98M","-0.28%"
"2025- 06- 18","549.24","550.16","552.71","548.39","4.60M","-0.02%"
"2025- 06- 17","549.35","551.79","553.16","548.64","4.75M","-0.85%"
"2025- 06- 16","554.07","551.94","555.69","551.87","7.42M","0.97%"
"2025- 06- 13","548.77","550.24","553.24","547.41","7.10M","-1.11%"
"2025- 06- 12","554.95","551.60","555.00","551.13","8.42M","0.38%"
"2025- 06- 11","552.86","555.41","556.22","550.91","20.80M","-0.28%"
"2025- 06- 10","554.39","551.78","554.74","550.74","5.98M","0.57%"
"2025- 06- 09","551.25","551.30","552.70","550.20","4.52M","0.11%"
"2025- 06- 06","550.66","550.30","552.32","548.70","4.74M","1.02%"
"2025- 06- 05","545.09","549.48","550.63","543.34","6.39M","-0.47%"
"2025- 06- 04","547.65","548.75","549.65","547.44","4.54M","-0.06%"
"2025- 06- 03","548.00","544.53","548.87","544.09","4.99M","0.57%"
"2025- 06- 02","544.91","540.25","544.91","537.80","5.93M","0.58%"
"2025- 05- 30","541.76","541.35","543.39","536.16","6.17M","-0.10%"
"2025- 05- 29","542.32","545.15","545.28","538.74","4.67M","0.39%"
"2025- 05- 28","540.24","543.79","544.90","539.61","4.91M","-0.57%"
"2025- 05- 27","543.34","538.72","543.52","537.18","6.12M","2.05%"
"2025- 05- 23","532.40","529.43","534.81","529.11","6.46M","-0.68%"
"2025- 05- 22","536.02","535.60","539.22","534.44","5.82M","0.05%"
"2025- 05- 21","535.77","540.91","544.69","534.82","6.34M","-1.67%"
"2025- 05- 20","544.88","545.22","546.06","541.99","7.16M","-0.35%"
"2025- 05- 19","546.82","540.63","547.45","540.58","7.77M","0.10%"
"2025- 05- 16","546.26","543.47","546.47","541.70","7.26M","0.64%"
"2025- 05- 15","542.76","538.26","543.25","537.84","7.36M","0.49%"
"2025- 05- 14","540.11","540.37","541.42","538.24","5.03M","0.12%"
"2025- 05- 13","539.44","536.33","541.48","535.78","7.36M","0.66%"
"2025- 05- 12","535.92","534.50","535.92","530.39","7.79M","3.33%"
"2025- 05- 09","518.65","520.69","521.63","517.36","4.74M","-0.13%"
"2025- 05- 08","519.34","519.54","524.23","516.34","5.09M","0.67%"
"2025- 05- 07","515.90","514.92","518.18","511.10","5.47M","0.45%"
"2025- 05- 06","513.58","512.89","517.83","511.94","4.69M","-0.85%"
"2025- 05- 05","517.99","517.08","520.85","516.27","4.79M","-0.52%"
"2025- 05- 02","520.71","519.12","522.41","516.89","6.29M","1.43%"
"2025- 05- 01","513.35","515.13","518.44","512.77","5.78M","0.71%"
"2025- 04- 30","509.74","503.26","511.50","497.76","7.87M","0.05%"
"2025- 04- 29","509.49","504.54","510.55","504.26","6.53M","0.61%"
"2025- 04- 28","506.42","506.81","508.74","500.96","4.21M","0.06%"
"2025- 04- 25","506.11","502.44","506.52","499.75","6.93M","0.74%"
"2025- 04- 24","502.41","493.26","503.00","492.22","6.18M","2.10%"
"2025- 04- 23","492.07","496.69","501.18","490.70","8.05M","1.61%"
"2025- 04- 22","484.29","478.07","486.48","477.19","6.24M","2.52%"
"2025- 04- 21","472.37","479.02","479.49","467.33","7.76M","-2.38%"
"2025- 04- 17","483.90","484.79","488.16","481.50","5.64M","0.14%"
"2025- 04- 16","483.23","488.65","491.77","478.23","6.37M","-2.20%"
"2025- 04- 15","494.09","496.03","499.27","493.42","8.20M","-0.28%"
"2025- 04- 14","495.48","500.05","500.26","490.69","7.70M","1.00%"
"2025- 04- 11","490.55","480.69","493.00","478.00","11.54M","1.76%"
"2025- 04- 10","482.06","489.15","490.30","468.33","16.65M","-3.41%"
"2025- 04- 09","499.10","453.49","502.06","453.16","29.29M","9.27%"
"2025- 04- 08","456.74","479.68","482.49","449.60","19.00M","-1.47%"
"2025- 04- 07","463.56","449.54","480.76","442.80","31.29M","-0.42%"
"2025- 04- 04","465.52","481.28","483.30","464.24","30.97M","-5.80%"
"2025- 04- 03","494.16","501.00","503.66","493.50","16.23M","-4.77%"
"2025- 04- 02","518.91","510.14","521.49","509.93","6.31M","0.60%"
"2025- 04- 01","515.80","512.36","517.35","508.88","7.70M","0.37%"
"2025- 03- 31","513.91","505.31","515.33","502.64","8.20M","0.61%"
"2025- 03- 28","510.80","519.76","520.46","510.16","5.83M","-2.00%"
"2025- 03- 27","521.21","521.29","524.68","519.23","5.53M","-0.62%"
"2025- 03- 26","524.46","530.56","531.41","523.10","4.43M","-1.17%"
"2025- 03- 25","530.65","530.59","531.60","529.11","6.26M","0.24%"
"2025- 03- 24","529.39","526.48","530.39","525.88","22.38M","1.75%"
"2025- 03- 21","520.26","515.79","520.95","514.66","5.06M","0.02%"
"2025- 03- 20","520.13","517.96","524.61","517.32","6.03M","-0.23%"
"2025- 03- 19","521.33","517.54","524.96","516.42","5.37M","1.05%"
"2025- 03- 18","515.91","519.32","519.52","514.07","6.01M","-1.05%"
"2025- 03- 17","521.41","517.45","523.84","517.08","6.27M","0.76%"
"2025- 03- 14","517.46","511.28","518.42","510.84","7.41M","2.05%"
"2025- 03- 13","507.05","513.51","514.06","505.42","21.65M","-1.31%"
"2025- 03- 12","513.76","516.89","517.74","509.10","8.59M","0.49%"
"2025- 03- 11","511.28","514.33","517.53","507.53","11.21M","-0.82%"
"2025- 03- 10","515.51","521.90","523.70","510.83","11.18M","-2.64%"
"2025- 03- 07","529.51","524.90","530.88","520.13","7.31M","0.54%"
"2025- 03- 06","526.67","529.19","533.43","524.22","7.23M","-1.81%"
"2025- 03- 05","536.40","530.25","537.79","526.93","6.22M","1.12%"
"2025- 03- 04","530.45","533.06","538.28","526.16","10.48M","-1.21%"
"2025- 03- 03","536.92","548.20","549.29","533.25","7.29M","-1.72%"
"2025- 02- 28","546.33","538.42","546.89","535.58","7.33M","1.55%"
"2025- 02- 27","537.97","548.83","549.88","537.60","5.52M","-1.61%"
"2025- 02- 26","546.75","548.01","551.34","544.25","4.18M","0.06%"
"2025- 02- 25","546.41","549.18","549.77","542.17","5.49M","-0.50%"
"2025- 02- 24","549.14","553.61","554.51","548.51","4.77M","-0.47%"
"2025- 02- 21","551.75","561.10","561.20","551.27","6.15M","-1.70%"
"2025- 02- 20","561.30","562.39","562.48","558.22","4.45M","-0.42%"
"2025- 02- 19","563.67","561.02","563.92","560.53","3.86M","0.24%"
"2025- 02- 18","562.31","561.80","562.31","559.49","3.84M","0.29%"
"2025- 02- 14","560.69","560.90","561.86","560.07","3.38M","0.00%"
"2025- 02- 13","560.67","555.87","560.88","554.70","3.39M","1.06%"
"2025- 02- 12","554.81","551.00","555.91","550.39","3.58M","-0.33%"
"2025- 02- 11","556.65","554.10","557.11","553.99","2.75M","0.09%"
"2025- 02- 10","556.15","555.44","556.78","554.24","3.52M","0.72%"
"2025- 02- 07","552.20","558.10","559.20","551.79","10.16M","-0.97%"
"2025- 02- 06","557.62","557.29","557.65","554.19","3.61M","0.36%"
"2025- 02- 05","555.62","552.34","555.73","550.41","3.42M","0.41%"
"2025- 02- 04","553.35","549.70","553.83","549.23","4.18M","0.66%"
"2025- 02- 03","549.70","544.99","551.96","542.98","7.82M","-0.66%"
"2025- 01- 31","553.33","558.62","560.89","552.71","6.24M","-0.53%"
"2025- 01- 30","556.30","555.37","557.78","552.38","4.30M","0.52%"
"2025- 01- 29","553.41","555.17","555.50","550.97","4.17M","-0.44%"
"2025- 01- 28","555.85","552.30","556.65","549.22","4.16M","0.84%"
"2025- 01- 27","551.23","546.93","551.39","546.83","7.62M","-1.39%"
"2025- 01- 24","559.01","560.76","561.66","558.02","3.61M","-0.30%"
"2025- 01- 23","560.70","557.04","560.70","556.80","6.22M","0.55%"
"2025- 01- 22","557.61","557.19","558.93","556.73","4.78M","0.57%"
"2025- 01- 21","554.46","552.32","554.46","550.50","5.30M","0.91%"
"2025- 01- 17","549.46","548.92","551.12","547.68","6.56M","0.96%"
"2025- 01- 16","544.24","546.35","546.51","543.39","3.63M","-0.15%"
"2025- 01- 15","545.05","542.84","546.13","541.76","5.31M","1.83%"
"2025- 01- 14","535.26","537.32","537.91","531.81","8.82M","0.13%"
"2025- 01- 13","534.58","529.40","534.91","529.02","5.62M","0.13%"
"2025- 01- 10","533.89","538.71","538.75","532.00","7.94M","-1.52%"
"2025- 01- 08","542.14","541.32","543.00","538.08","4.32M","0.13%"
"2025- 01- 07","541.41","549.32","549.60","539.56","5.38M","-1.12%"
